_id,Geographic Area Served,Asset Name,Type of Entity,Digital Equity Pillars,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,Description of Services,Website,Street Address
50,Hawaii,Mountain View Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"18-1235 Volcano Hwy, Mountain View, HI 96771"
51,Hawaii,Na Wai Ola PCS,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://nawaiolapcs.org/,"18-1355 Volcano Highway P.O. Box 711539, Mountain View, HI 96771"
52,Hawaii,Naalehu Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://sites.google.com/k12.hi.us/naalehu-elementary-school/,"95-5545 Mamalahoa Highway, Naalehu, HI 96772"
53,Hawaii,Naalehu Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"95-5669 Mamalahoa Hwy, Naalehu, HI 96772, United States"
54,Hawaii,North Kohala Public Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"54-3645 Akoni Pule Hwy, Kapaau, HI 96755, United States"
55,Hawaii,Paauilo Elementary and Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Honokaa-Kealakehe-Kohala-Konawaena complex area.,https://www.paauiloschool.org/,"43-1497 Old Main Road, Paauilo, HI 96776"
56,Hawaii,Pahala Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"96-3150 Pikake St, Pahala, HI 96777, United States"
57,Hawaii,Pahoa Elementary,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://sites.google.com/pahoaes.k12.hi.us/pahoaelementaryschool/welcome,"15-3030 Pahoa Village Road, Pahoa, HI 96778"
58,Hawaii,Pahoa High and Intermediate,Public School,Broadband Availability; Device Availability; Digital Literacy; potential CAI,1,,,,x,x,x,,x,Serves the Kau-Keaau-Pahoa complex area.,https://www.pahoahis.org/,"15-3038 Puna Road, Pahoa, HI 96778"
59,Hawaii,Pahoa Public and School Library,Public Library,Broadband Availability; Device Availability; Digital Literacy,1,1,1,1,1,1,1,1,1,"One of the 51 branches of the Hawaii State Public Library System.
Offers connectivity to devices and the internet and opportunities
for the digital literacy skills they need to be successful.",https://www.librarieshawaii.org/,"15-3070 Pahoa Kalapana Rd, Pahoa, HI 96778"
